CODDPTO,DPTO_1,p_total,p_18a,pct_universitarios,pct_solosecundaria,pct_baja_educacion
2007,Comuna 1,221001,179737,22.130668699266153,44.474426523197785,25.524516376705964
2014,Comuna 2,160609,138668,39.363804194190436,42.06738396746185,9.84004961490755
2021,Comuna 3,193537,160492,19.641477456820276,47.21730678164644,23.745108790469306
2028,Comuna 4,227024,175092,11.585337993740435,43.353208598908004,37.06565691179494
2035,Comuna 5,192449,161535,24.82372241309933,45.25458878880738,19.145076918314917
2042,Comuna 6,201764,168561,30.937761403883464,42.54780168603651,15.104324250568043
2049,Comuna 7,213262,172542,20.19913991955582,44.950215020111045,24.232360816496854
2056,Comuna 8,203888,148624,5.0880073204865965,40.76595973732371,48.260711594358916
2063,Comuna 9,167908,133580,12.46518939961072,45.81149872735439,31.78469830812996
2070,Comuna 10,171896,140187,17.75770934537439,46.56209206274477,23.86883234536726
2077,Comuna 11,201905,166228,23.032822388526604,45.28478956613807,19.93105854609332
2084,Comuna 12,235364,194100,27.88562596599691,42.94178258629572,17.329726944873777
2091,Comuna 13,262330,219265,38.71206074840946,38.956969876633295,11.473787426173807
2098,Comuna 14,247252,211461,40.325166342729865,39.47678295288493,10.80530215973631
2105,Comuna 15,195265,161655,25.15975379666574,43.9491509696576,19.954223500664998
6028,Almirante Brown,583209,422869,5.060668906919164,40.61707053484649,48.17094655791747
6035,Avellaneda,366117,279418,8.099335046417911,43.749865792468626,40.262975184132735
6091,Berazategui,358328,261399,6.283115084602466,42.849054510537535,44.267193065007895
6098,Berisso,100685,73096,6.726770274707235,44.58383495676918,40.003556966181456
6119,Brandsen,32350,22834,7.488832442848384,37.90400280283787,45.165104668476836
6126,Campana,107976,78213,9.008732563640317,42.32672317901116,41.659314947642976
6134,Cañuelas,70542,48475,6.003094378545642,38.64672511603919,48.78184631253223
6245,Ensenada,63978,45776,6.357042991960853,44.060206221600836,42.06789584061517
6252,Escobar,256071,180663,8.696855471236502,40.40229598755694,44.37654638747281
6260,Esteban Echeverría,337880,240577,5.499694484510157,40.815622441047985,48.175012573936826
6270,Ezeiza,198620,138248,4.610554944736994,41.47763439615763,48.388403448874485
6274,Florencio Varela,488103,335207,2.774405069106552,37.99353832109711,55.14323984880984
6329,General Las Heras,17980,12930,6.836813611755607,40.208816705336424,42.335653518948185
6364,General Rodríguez,142315,93973,4.642822938503613,38.08753578155428,52.26501229076437
6371,General San Martín,444503,339021,7.201618778777716,42.008017202474186,43.58992510788417
6408,Hurlingham,185361,140963,6.486099189148925,42.7991742513993,44.33574767846882
6410,Ituzaingó,177983,136244,10.34981356977188,45.24235929655618,36.273156983059806
6412,José C. Paz,326527,226073,2.825635967143356,37.07651953130184,55.952280900417115
6427,La Matanza,1837168,1302668,4.166142102208697,40.779385077395006,50.04022513794766
6434,Lanús,460081,354375,7.789770723104056,42.387301587301586,42.09298059964727
6441,La Plata,756074,571484,16.70352975761351,45.42716856464923,29.359002176788852
6490,Lomas de Zamora,685644,503421,7.815526169945235,40.333637253908755,45.378520165030864
6497,Luján,110111,80791,9.733757472985852,40.29904321025857,41.50462303969501
6515,Malvinas Argentinas,349401,254029,3.948368099705152,40.36980029839113,51.05322620645675
6525,Marcos Paz,64761,44240,4.674502712477397,35.556057866184446,52.26491862567811
6539,Merlo,581484,411945,3.357244292320577,37.517144278969276,53.825874813385276
6560,Moreno,575758,397943,3.7872258087213493,38.74625260401615,52.698502046775545
6568,Morón,329517,260556,12.731236279341102,45.54529544512504,32.6643792505258
6638,Pilar,393614,274469,10.146136722179918,39.888293395611164,43.927000863485496
6648,Presidente Perón,101994,67491,2.9559496821798463,38.19027722214814,53.931635329155
6658,Quilmes,631774,463194,7.341200447328765,40.286359495157534,45.578958276661616
6749,San Fernando,171099,128898,9.357786777141616,41.94091452155968,40.98822324628777
6756,San Isidro,295978,231872,20.866253795197352,41.701455975710736,26.979971708528844
6760,San Miguel,327650,240335,7.803274595876589,41.92190068030041,43.33908918800841
6778,San Vicente,97929,64783,4.4733957982804124,39.33748051186268,49.33084296806261
6805,Tigre,446291,323834,11.25576684350624,39.92570267482722,41.876393460847225
6840,Tres de Febrero,362319,282641,8.649488220038847,44.325840907723936,38.68830070655
6861,Vicente López,280541,225375,23.71514143094842,42.655130338325016,22.02107598447033
